ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,,,,
Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,,,
3325,1.73E-02,3.52E-03,3.55E-03,,,0
3330,1.71E-02,4.66E-03,4.70E-03,,,0
3335,1.70E-02,9.07E-03,9.15E-03,,,0
3340,1.69E-02,3.46E-03,3.49E-03,,,0
3345,1.68E-02,3.54E-03,3.57E-03,,,0
3350,1.66E-02,8.03E-03,8.10E-03,,,0
3355,1.65E-02,3.63E-03,3.66E-03,,,0
3360,1.64E-02,5.24E-03,5.29E-03,,,0
3365,1.63E-02,7.19E-03,7.26E-03,,,0
3370,1.62E-02,3.94E-03,3.98E-03,,,0
3375,1.61E-02,8.46E-03,8.54E-03,,,0
3380,1.60E-02,5.11E-03,5.16E-03,,,0
3385,1.60E-02,7.49E-03,7.57E-03,,,0
3390,1.59E-02,9.86E-03,9.96E-03,,,0
3395,1.58E-02,9.55E-03,9.64E-03,,,0
3400,1.56E-02,1.25E-02,1.26E-02,,,0
3405,1.57E-02,4.46E-03,4.51E-03,,,0
3410,1.55E-02,7.08E-03,7.15E-03,,,0
3415,1.55E-02,7.28E-03,7.35E-03,,,0
3420,1.54E-02,1.32E-02,1.33E-02,,,0
3425,1.53E-02,1.00E-02,1.01E-02,,,0
3430,1.52E-02,8.69E-03,8.78E-03,,,0
3435,1.52E-02,1.16E-02,1.17E-02,,,0
3440,1.51E-02,8.03E-03,8.12E-03,,,0
3445,1.50E-02,1.13E-02,1.14E-02,,,0
3450,1.49E-02,1.12E-02,1.13E-02,,,0
3455,1.49E-02,8.31E-03,8.39E-03,,,0
3460,1.48E-02,1.25E-02,1.27E-02,,,0
3465,1.48E-02,9.82E-03,9.92E-03,,,0
3470,1.47E-02,1.23E-02,1.24E-02,,,0
3475,1.46E-02,1.09E-02,1.11E-02,,,0
3480,1.45E-02,1.12E-02,1.13E-02,,,0
3485,1.45E-02,1.21E-02,1.22E-02,,,0
3490,1.44E-02,1.04E-02,1.05E-02,,,0
3495,1.43E-02,1.23E-02,1.24E-02,,,0
3500,1.42E-02,1.19E-02,1.20E-02,,,0
3505,1.42E-02,1.18E-02,1.19E-02,,,0
3510,1.41E-02,1.20E-02,1.21E-02,,,0
3515,1.40E-02,1.15E-02,1.16E-02,,,0
3520,1.39E-02,1.21E-02,1.22E-02,,,0
3525,1.39E-02,1.14E-02,1.15E-02,,,0
3530,1.38E-02,1.11E-02,1.12E-02,,,0
3535,1.38E-02,9.46E-03,9.53E-03,,,0
3540,1.37E-02,9.03E-03,9.10E-03,,,0
3545,1.37E-02,9.54E-03,9.62E-03,,,0
3550,1.36E-02,1.05E-02,1.06E-02,,,0
3555,1.35E-02,9.06E-03,9.12E-03,,,0
3560,1.34E-02,1.08E-02,1.09E-02,,,0
3565,1.34E-02,1.09E-02,1.09E-02,,,0
3570,1.33E-02,8.34E-03,8.40E-03,,,0
3575,1.32E-02,8.64E-03,8.70E-03,,,0
3580,1.31E-02,1.02E-02,1.03E-02,,,0
3585,1.31E-02,9.17E-03,9.23E-03,,,0
3590,1.30E-02,9.45E-03,9.51E-03,,,0
3595,1.29E-02,9.67E-03,9.73E-03,,,0
3600,1.29E-02,1.03E-02,1.03E-02,,,0
3605,1.28E-02,1.04E-02,1.04E-02,,,0
3610,1.27E-02,9.48E-03,9.54E-03,,,0
3615,1.27E-02,9.47E-03,9.53E-03,,,0
3620,1.26E-02,1.16E-02,1.17E-02,,,0
3625,1.26E-02,1.02E-02,1.03E-02,,,0
3630,1.25E-02,9.96E-03,1.00E-02,,,0
3635,1.25E-02,1.03E-02,1.04E-02,,,0
3640,1.24E-02,1.15E-02,1.15E-02,,,0
3645,1.24E-02,1.06E-02,1.07E-02,,,0
3650,1.23E-02,1.01E-02,1.02E-02,,,0
3655,1.22E-02,1.10E-02,1.10E-02,,,0
3660,1.22E-02,1.09E-02,1.10E-02,,,0
3665,1.22E-02,1.03E-02,1.03E-02,,,0
3670,1.20E-02,7.90E-03,7.95E-03,,,0
3675,1.20E-02,4.83E-03,4.86E-03,,,0
3680,1.19E-02,8.33E-03,8.38E-03,,,0
3685,1.18E-02,9.44E-03,9.49E-03,,,0
3690,1.18E-02,9.69E-03,9.75E-03,,,0
3695,1.17E-02,1.01E-02,1.02E-02,,,0
3700,1.16E-02,1.09E-02,1.09E-02,,,0
3705,1.16E-02,1.08E-02,1.08E-02,,,0
3710,1.15E-02,9.36E-03,9.41E-03,,,0
3715,1.15E-02,9.23E-03,9.27E-03,,,0
3720,1.14E-02,1.04E-02,1.04E-02,,,0
3725,1.14E-02,1.07E-02,1.08E-02,,,0
3730,1.13E-02,9.27E-03,9.32E-03,,,0
3735,1.13E-02,8.58E-03,8.63E-03,,,0
3740,1.11E-02,8.85E-03,8.89E-03,,,0
3745,1.11E-02,1.03E-02,1.04E-02,,,0
3750,1.10E-02,9.29E-03,9.33E-03,,,0
3755,1.10E-02,8.99E-03,9.03E-03,,,0
3760,1.09E-02,8.86E-03,8.90E-03,,,0
3765,1.09E-02,8.55E-03,8.59E-03,,,0
3770,1.09E-02,9.12E-03,9.16E-03,,,0
3775,1.08E-02,9.05E-03,9.09E-03,,,0
3780,1.07E-02,9.57E-03,9.62E-03,,,0
3785,1.07E-02,8.81E-03,8.85E-03,,,0
3790,1.06E-02,7.76E-03,7.79E-03,,,0
3795,1.06E-02,8.87E-03,8.91E-03,,,0
3800,1.05E-02,9.86E-03,9.90E-03,,,0
3805,1.05E-02,9.30E-03,9.34E-03,,,0
3810,1.04E-02,8.25E-03,8.28E-03,,,0
3815,1.04E-02,7.76E-03,7.79E-03,,,0
3820,1.03E-02,9.66E-03,9.69E-03,,,0
3825,1.03E-02,9.51E-03,9.54E-03,,,0
3830,1.03E-02,9.59E-03,9.63E-03,,,0
3835,1.02E-02,7.69E-03,7.72E-03,,,0
3840,1.02E-02,8.98E-03,9.01E-03,,,0
3845,1.01E-02,8.78E-03,8.81E-03,,,0
3850,1.01E-02,8.83E-03,8.86E-03,,,0
3855,1.00E-02,8.51E-03,8.54E-03,,,0
3860,9.94E-03,7.99E-03,8.02E-03,,,0
3865,9.91E-03,8.10E-03,8.12E-03,,,0
3870,9.83E-03,7.36E-03,7.38E-03,,,0
3875,9.83E-03,6.76E-03,6.78E-03,,,0
3880,9.75E-03,6.53E-03,6.55E-03,,,0
3885,9.70E-03,6.77E-03,6.79E-03,,,0
3890,9.71E-03,6.88E-03,6.90E-03,,,0
3895,9.62E-03,7.48E-03,7.50E-03,,,0
3900,9.60E-03,7.93E-03,7.95E-03,,,0
3905,9.59E-03,7.93E-03,7.95E-03,,,0
3910,9.52E-03,7.14E-03,7.16E-03,,,0
3915,9.50E-03,6.99E-03,7.01E-03,,,0
3920,9.41E-03,6.95E-03,6.97E-03,,,0
3925,9.40E-03,6.85E-03,6.87E-03,,,0
3930,9.32E-03,7.05E-03,7.07E-03,,,0
3935,9.30E-03,7.35E-03,7.37E-03,,,0
3940,9.23E-03,7.40E-03,7.42E-03,,,0
3945,9.20E-03,7.54E-03,7.56E-03,,,0
3950,9.11E-03,7.63E-03,7.65E-03,,,0
3955,9.08E-03,7.72E-03,7.74E-03,,,0
3960,9.02E-03,7.75E-03,7.77E-03,,,0
3965,9.01E-03,7.81E-03,7.83E-03,,,0
3970,8.93E-03,7.68E-03,7.70E-03,,,0
3975,8.91E-03,7.51E-03,7.53E-03,,,0
3980,8.84E-03,7.39E-03,7.40E-03,,,0
3985,8.80E-03,7.43E-03,7.45E-03,,,0
3990,8.78E-03,7.37E-03,7.39E-03,,,0
3995,8.70E-03,7.21E-03,7.23E-03,,,0
4000,8.68E-03,7.10E-03,7.12E-03,,,0
